common name,latin binomial,measure,mean,standard_dev,variance,N_rs,group_size,source_rs,reference_rs,% of groups,N_freq,source_freq,reference_freq
sociable weaver,Philetairus_socius,number of fledglings,1.14,1.31,1.73,21,6,"Figure 4a, ""Nesting_Climate_Clutch_GroupSize.csv"" file. considering natural colonies only",ibid.,5,18,Figure S1,ibid.
sociable weaver,Philetairus_socius,number of fledglings,2.5,1,1,4,7,"Figure 4a, ""Nesting_Climate_Clutch_GroupSize.csv"" file. considering natural colonies only",ibid.,1,4,Figure S1,ibid.
green woodhoopoe,Phoeniculus_purpureus,number of young fledged,1,1.73,3,3,2,Figures 14-16 (pooled data),Ligon. J. D.. & S. Ligon. 1978. The communal social system of the green woodhoopoe in Kenya. Living Bird 17:159-197.,5,6,Figure 3,Ligon. J. D.. & S. Ligon. 1978. The communal social system of the green woodhoopoe in Kenya. Living Bird 17:159-197.
green woodhoopoe,Phoeniculus_purpureus,number of young fledged,1.67,1.87,3.5,9,3,Figures 14-16 (pooled data),ibid.,16,21,Figure 3,ibid.
green woodhoopoe,Phoeniculus_purpureus,number of young fledged,1.75,1.58,2.5,8,4,Figures 14-16 (pooled data),ibid.,12,16,Figure 3,ibid.
green woodhoopoe,Phoeniculus_purpureus,number of young fledged,1.53,1.64,2.7,15,5,Figures 14-16 (pooled data),ibid.,21,27,Figure 3,ibid.
green woodhoopoe,Phoeniculus_purpureus,number of young fledged,1.77,1.09,1.19,13,6,Figures 14-16 (pooled data),ibid.,17,22,Figure 3,ibid.
green woodhoopoe,Phoeniculus_purpureus,number of young fledged,3,2.58,6.67,4,7,Figures 14-16 (pooled data),ibid.,9,11,Figure 3,ibid.
green woodhoopoe,Phoeniculus_purpureus,number of young fledged,2.29,1.25,1.57,7,8,Figures 14-16 (pooled data),ibid.,11,14,Figure 3,ibid.
green woodhoopoe,Phoeniculus_purpureus,number of young fledged,3,3.46,12,3,9,Figures 14-16 (pooled data),ibid.,6,8,Figure 3,ibid.
placid greenbul,Phyllastrephus_placidus,total number of fledged young / breeding female / breeding season,1.16,0.99,1,84,2,"""PG_data_Downing"" .xlsx file ",Cousseau. pers. comm.,33,21,Figure 3.1,Van de Loock. D. (2019) Life-history strategies of a facultative cooperative breeder in a fragmented Afrotropical cloud forest. PhD Thesis. Ghent University and the University of Antwerp.
placid greenbul,Phyllastrephus_placidus,total number of fledged young / breeding female / breeding season,1.19,1.03,1.1,108,3,"""PG_data_Downing"" .xlsx file ",ibid.,35,22,Figure 3.1,ibid.
placid greenbul,Phyllastrephus_placidus,total number of fledged young / breeding female / breeding season,1.53,0.84,0.76,57,4,"""PG_data_Downing"" .xlsx file ",ibid.,21,13,Figure 3.1,ibid.
placid greenbul,Phyllastrephus_placidus,total number of fledged young / breeding female / breeding season,1.4,NA,NA,15,5,"""PG_data_Downing"" .xlsx file ",ibid.,6,4,Figure 3.1,ibid.
placid greenbul,Phyllastrephus_placidus,total number of fledged young / breeding female / breeding season,1.75,NA,NA,8,6,"""PG_data_Downing"" .xlsx file ",ibid.,3,2,Figure 3.1,ibid.
placid greenbul,Phyllastrephus_placidus,total number of fledged young / breeding female / breeding season,1.5,0.71,0.5,2,7,"""PG_data_Downing"" .xlsx file ",ibid.,2,1,Figure 3.1,ibid.
red-cockaded woodpecker,Picoides_borealis,number of fledglings / year,1.22,1.26,1.59,4846,2,Figure 4.4,Walters. J. R.. & Garcia. V. (2016). Red-cockaded woodpeckers: Alternative pathways to breeding success. In W. D. Koenig & J. L. Dickinson (Eds.). Cooperative Breeding in Vertebrates (pp. 58–76). Cambridge: Cambridge University Press.,53,4842,Table 4.2,Walters. J. R.. & Garcia. V. (2016). Red-cockaded woodpeckers: Alternative pathways to breeding success. In W. D. Koenig & J. L. Dickinson (Eds.). Cooperative Breeding in Vertebrates (pp. 58–76). Cambridge: Cambridge University Press.
red-cockaded woodpecker,Picoides_borealis,number of fledglings / year,1.83,1.42,2.04,2982,3,Figure 4.4,ibid.,33,2991,Table 4.2,ibid.
red-cockaded woodpecker,Picoides_borealis,number of fledglings / year,2.21,1.3,1.7,1008,4,Figure 4.4,ibid.,11,1006,Table 4.2,ibid.
red-cockaded woodpecker,Picoides_borealis,number of fledglings / year,2.08,1.25,1.57,258,5,Figure 4.4,ibid.,3,253,Table 4.2,ibid.
white-browed sparrow weaver,Plocepasser_mahali,number of fledglings,1.53,1.16,1.35,59,2,"Table 2, calculated from Supplementary file '3 - Bivariate models - RAW DATA.csv'","Lewis. D. M. (1981). Determinants of reproductive success of the white-browed sparrow weaver. Plocepasser mahali. Behavioral Ecology and Sociobiology. 9(2). 83–93, Capilla-Lasheras. P.. X. Harrison. E. M. Wood. A. J. Wilson. A. J. Young. Altruistic bet-hedging and the evolution of cooperation in a Kalahari bird. Sci. Adv. 7. eabe8980 (2021).",19,59,"Table 2, calculated from Supplementary file '3 - Bivariate models - RAW DATA.csv'","Lewis. D. M. (1981). Determinants of reproductive success of the white-browed sparrow weaver. Plocepasser mahali. Behavioral Ecology and Sociobiology. 9(2). 83–93, Capilla-Lasheras. P.. X. Harrison. E. M. Wood. A. J. Wilson. A. J. Young. Altruistic bet-hedging and the evolution of cooperation in a Kalahari bird. Sci. Adv. 7. eabe8980 (2021)."
white-browed sparrow weaver,Plocepasser_mahali,number of fledglings,1.5,1.22,1.47,66,3,"Table 2, calculated from Supplementary file '3 - Bivariate models - RAW DATA.csv'",ibid.,21,66,"Table 2, calculated from Supplementary file '3 - Bivariate models - RAW DATA.csv'",ibid.
white-browed sparrow weaver,Plocepasser_mahali,number of fledglings,1.13,1.13,1.33,55,4,"Table 2, calculated from Supplementary file '3 - Bivariate models - RAW DATA.csv'",ibid.,18,55,"Table 2, calculated from Supplementary file '3 - Bivariate models - RAW DATA.csv'",ibid.
white-browed sparrow weaver,Plocepasser_mahali,number of fledglings,1.54,1.16,1.38,47,5,"Table 2, calculated from Supplementary file '3 - Bivariate models - RAW DATA.csv'",ibid.,15,47,"Table 2, calculated from Supplementary file '3 - Bivariate models - RAW DATA.csv'",ibid.
white-browed sparrow weaver,Plocepasser_mahali,number of fledglings,1.51,1.35,1.85,43,6,"Table 2, calculated from Supplementary file '3 - Bivariate models - RAW DATA.csv'",ibid.,14,43,"Table 2, calculated from Supplementary file '3 - Bivariate models - RAW DATA.csv'",ibid.
white-browed sparrow weaver,Plocepasser_mahali,number of fledglings,1.6,1.16,1.42,25,7,"Table 2, calculated from Supplementary file '3 - Bivariate models - RAW DATA.csv'",ibid.,8,25,"Table 2, calculated from Supplementary file '3 - Bivariate models - RAW DATA.csv'",ibid.
white-browed sparrow weaver,Plocepasser_mahali,number of fledglings,1.16,1.48,2.74,10,8,"Table 2, calculated from Supplementary file '3 - Bivariate models - RAW DATA.csv'",ibid.,3,10,"Table 2, calculated from Supplementary file '3 - Bivariate models - RAW DATA.csv'",ibid.
white-browed sparrow weaver,Plocepasser_mahali,number of fledglings,1.75,2.22,4.92,4,9,"Table 2, calculated from Supplementary file '3 - Bivariate models - RAW DATA.csv'",ibid.,1,4,"Table 2, calculated from Supplementary file '3 - Bivariate models - RAW DATA.csv'",ibid.
chestnut-crowned babbler,Pomatostomus_ruficeps,total annual production of fledglings per breeding female,1.43,1.56,2.42,14,2,supplementary data,Browning. L. E.. Patrick. S. C.. Rollins. L. A.. Griffith. S. C.. & Russell. A. F. (2012). Kin selection. not group augmentation. predicts helping in an obligate cooperatively breeding bird. Proceedings of the Royal Society B: Biological Sciences. 279(1743). 3861–3869.,NA,NA,NA,NA
chestnut-crowned babbler,Pomatostomus_ruficeps,total annual production of fledglings per breeding female,2.09,1.81,3.29,11,3,supplementary data,ibid.,NA,NA,NA,NA
chestnut-crowned babbler,Pomatostomus_ruficeps,total annual production of fledglings per breeding female,2.71,1.44,2.07,14,4,supplementary data,ibid.,NA,NA,NA,NA
chestnut-crowned babbler,Pomatostomus_ruficeps,total annual production of fledglings per breeding female,2.91,2.05,4.19,21,5,supplementary data,ibid.,NA,NA,NA,NA
chestnut-crowned babbler,Pomatostomus_ruficeps,total annual production of fledglings per breeding female,2.6,1.35,1.82,10,6,supplementary data,ibid.,NA,NA,NA,NA
chestnut-crowned babbler,Pomatostomus_ruficeps,total annual production of fledglings per breeding female,4.29,1.86,3.47,17,7,supplementary data,ibid.,NA,NA,NA,NA
chestnut-crowned babbler,Pomatostomus_ruficeps,total annual production of fledglings per breeding female,3.8,1.48,2.18,10,8,supplementary data,ibid.,NA,NA,NA,NA
chestnut-crowned babbler,Pomatostomus_ruficeps,total annual production of fledglings per breeding female,3.75,1.28,1.64,8,9,supplementary data,ibid.,NA,NA,NA,NA
chestnut-crowned babbler,Pomatostomus_ruficeps,total annual production of fledglings per breeding female,3.89,2.37,5.61,9,10,supplementary data,ibid.,NA,NA,NA,NA
chestnut-crowned babbler,Pomatostomus_ruficeps,total annual production of fledglings per breeding female,4.8,1.79,3.2,5,12,supplementary data,ibid.,NA,NA,NA,NA
chestnut-crowned babbler,Pomatostomus_ruficeps,total annual production of fledglings per breeding female,4.33,1.53,2.33,3,13,supplementary data,ibid.,NA,NA,NA,NA
chestnut-crowned babbler,Pomatostomus_ruficeps,total annual production of fledglings per breeding female,4.5,0.71,0.5,2,15,supplementary data,ibid.,NA,NA,NA,NA
